dcp,legden01,dcpaix21289490,dcppwr21091687,10.141.64.48,32,149,VA1,,DVEBMGS01,,linciva10100,,VA1
dcp,legdgn01,dcpaix21326291,dcppwr19322687,10.141.64.113,12,149,DNU DN2,DN2,DVEBMGS26 SCS28,JC27,lincidnu2600 linjidn22700,linjidn22700,
dcp,legdgn01,dcpaix21289325,dcppwr19322693,10.141.64.98,62,149,AGH DGH,E40 E08,DVEBMGS58 DVEBMGS12,SMDA92 SMDA91,linciagh5800 lincidgh1200,linciagh5800 lincidgh1200,
dcp,legdgn01,dcpaix21290142,dcppwr20164807,10.141.64.27,19,149,,,,,,,DGH AGH
dcp,legdgn01,dcpaix21290377,dcppwr20164807,10.141.64.30,23,149,GQT GQT,,SCS23 DVEBMGS22,,lincigqt2200 lincigqt2200,,GQT
dcp,legdgn01,dcpaix21290380,dcppwr20164807,10.141.64.44,27,149,GDT GDT,,DVEBMGS24 SCS25,,lincigdt2400 lincigdt2400,,GDT
dcp,legdgn01,dcpaix21322795,dcppwr20164807,10.141.64.199,12,149,,,,,,,QNU
dcp,legdgn01,dcpaix21323105,dcppwr20164807,10.141.64.195,12,149,,,,,,,QN2 DNU DN2
dcp,legdgn01,dcpaix21325978,dcppwr19322687,10.141.64.116,12,149,QNU QN2,QN2 W36 F98,DVEBMGS23 SCS25,JC24 SMDA78 SMDA88,linciqnu2300 linjiqn22400,linjiqn22400 linciqnu2300 linjiqn22400,
dcp,legdgn01,dcpaix21326291,dcppwr19322687,10.141.64.113,12,149,DNU DN2,DN2,DVEBMGS26 SCS28,JC27,lincidnu2600 linjidn22700,linjidn22700,
dcp,legdgn01,dcpaix21336639,dcppwr21175799,10.141.64.167,14,149,S9E,E50,DVEBMGS32,SMDA46,lincis9e3200,lincis9e3200,S9E
dcp,legdgn01,dcpaix21346106,dcppwr21175799,10.141.64.170,26,149,DGE,,DVEBMGS10,,lincidge1000,,
dcp,legdgn01,dcpaix21402151,dcppwr21175799,10.141.64.161,12,149,S1E,,DVEBMGS33,,lincis1e3300,,S1E
dcp,legdgn01,dcpaix21404136,dcppwr20164807,10.141.64.61,51,149,S2E,,DVEBMGS63,,lincis2e6300,,S2E
dcp,legdgn01,dcpaix21404209,dcppwr20164807,10.141.64.64,9,149,,,,,,,SGE
dcp,legdgn01,dcpaix21404395,dcppwr19322687,10.141.64.68,14,149,SGE,E54,DVEBMGS11,SMDA92,lincisge1100,lincisge1100,
dcp,legdgn01,dcpaix21404421,dcppwr21137046,10.141.64.21,21,149,,,,,,,DGE
dcp,legdgn01,dcpaix21413482,dcppwr21175796,10.141.64.127,12,149,S6E,,DVEBMGS23,,lincis6e2300,,
dcp,legdgn01,dcpaix21413544,dcppwr21175796,10.141.64.125,20,149,S8E,,DVEBMGS25,,lincis8e2500,,
